6,1,1,9,1,10,17,16,11,1,4,1,0,3,2,0,17,12,14,11,11,12,4,1,0,1,1,2,1,1,1,1,0,1,3,2,0,0,0,0,0,0,0,1,1,1,4,1,0,1,0,4,3,0,1,3,0,0,0,2,0,0,0,1,3,0,0,1,1,5,5,5,5,5
7,1,1,9,1,7,15,13,12,0,0,2,0,2,1,20,11,15,12,15,11,14,1,4,0,2,4,2,2,2,2,2,6,6,2,1,2,2,2,2,2,0,4,6,2,2,0,6,4,6,2,6,0,4,4,2,2,2,2,4,6,0,0,4,0,4,0,2,4,4,4,4,4,4
1,6,1,12,1,12,15,13,12,1,6,2,0,3,1,0,20,14,16,8,12,9,5,2,1,2,2,-1,2,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,1,-1,-1,-1,2,9,2,-1,2,-1,-1,5,1,-1,-1,-1,-1,-1,5,-1,1,1,2,9,1,5,2,-1,5,5,5,5,5
5,1,1,9,1,6,14,10,14,0,1,3,0,1,0,13,16,14,13,10,17,2,3,2,3,3,3,1,3,3,3,1,8,3,5,4,1,1,1,1,1,0,1,3,3,3,1,3,1,3,4,3,1,0,4,0,0,0,1,0,1,0,0,3,1,0,0,3,3,1,1,1,1,1
3,1,1,9,1,10,18,17,9,0,-1,-1,0,2,3,0,9,9,14,11,15,18,4,-1,4,-1,-1,4,-1,4,4,4,0,4,-1,6,4,0,0,0,0,7,0,4,4,-1,-1,-1,0,-1,0,4,-1,2,4,0,0,0,0,2,0,2,2,-1,-1,2,2,-1,4,3,3,3,3,3
8,1,1,9,1,4,14,14,10,0,1,0,0,2,1,0,12,10,10,14,10,10,0,0,2,0,0,0,0,0,0,0,2,0,0,4,6,6,6,6,6,0,2,0,0,0,1,0,2,0,2,0,1,0,0,2,2,2,2,0,2,0,0,0,1,0,0,0,0,1,1,1,1,1
4,5,1,9,1,8,18,17,11,0,0,1,0,2,2,2,0,10,12,11,11,16,12,2,1,5,1,1,5,1,1,1,1,0,1,1,0,0,0,0,4,3,0,1,1,0,0,1,0,1,0,1,4,3,1,0,0,0,0,7,0,3,3,1,0,3,3,0,1,5,5,5,5,5
2,1,1,6,1,8,17,17,10,0,0,0,0,0,2,2,20,10,11,14,12,10,16,2,2,2,0,0,3,0,7,3,3,1,7,0,2,1,5,5,1,1,5,0,1,7,3,0,0,0,1,0,1,3,0,0,3,1,1,1,1,0,0,0,0,0,0,0,3,1,1,1,1,1
9,3,1,12,1,10,16,10,15,0,2,3,0,1,2,0,15,17,12,12,14,10,4,4,4,3,3,0,6,0,0,0,1,0,3,1,1,1,1,1,1,2,1,0,0,3,2,3,1,6,1,0,2,2,0,1,1,1,1,2,1,6,2,3,2,5,2,3,0,4,4,4,4,4
10,3,1,9,1,10,14,12,12,1,1,2,0,1,20,11,14,8,17,11,11,2,1,0,2,2,0,2,0,0,0,3,0,5,-1,7,0,7,0,0,0,3,0,0,2,0,2,3,2,3,0,0,0,0,3,3,3,3,0,3,0,0,2,0,4,0,2,0,2,2,2,2,2
11,3,1,9,1,10,20,16,14,1,4,4,0,2,2,20,16,19,13,14,13,12,4,5,1,4,4,5,4,1,1,1,2,1,4,4,6,2,2,2,5,0,1,2,1,1,4,3,4,2,4,2,1,3,1,1,2,2,2,1,2,1,1,4,3,1,1,4,1,4,4,4,4,4
1,1,1,12,1,15,15,14,11,1,1,1,0,3,1,0,11,12,16,14,14,17,5,1,2,1,1,7,1,3,3,3,2,3,5,3,2,2,2,2,2,2,2,3,3,1,4,1,2,1,2,3,4,2,3,6,2,2,2,2,2,2,2,1,4,2,2,2,3,2,2,2,2,2
2,3,1,12,1,8,17,16,11,0,3,1,0,1,2,20,16,13,12,10,13,12,2,2,3,1,1,1,1,1,1,1,0,1,1,1,0,4,0,4,4,1,0,1,1,1,3,4,0,1,0,1,3,1,1,0,0,0,0,1,0,5,1,1,3,1,1,1,1,2,2,2,2,2
3,3,1,6,1,8,15,13,12,0,2,2,2,1,1,0,14,15,12,15,14,8,2,2,4,2,2,-1,2,-1,-1,-1,2,-1,2,1,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,2,-1,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,3,3,3,3,3
4,1,1,12,2,8,15,13,12,0,2,2,0,2,1,0,14,14,10,11,12,10,2,2,3,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2,2,0,2,0,0,2,1,0,0,0,0,0,1,0,1,1,2,2,1,1,2,0,2,2,2,2,2
